1,18,1,1,STILL
2,18,5,2,UP
3,18,7,3,UP
5,18,3,5,DOWN
9,18,2,NULL,INVALID
13,18,4,NULL,INVALID
14,18,8,NULL,INVALID
15,18,6,NULL,INVALID
8,19,2,1,UP
14,19,12,9,UP
18,19,11,10,UP
12,19,13,11,UP
21,19,17,12,UP
22,19,14,13,UP
3,19,16,14,UP
20,19,15,NULL,INVALID
13,19,1,NULL,INVALID
10,19,10,NULL,INVALID
13,20,2,1,UP
8,20,4,2,UP
9,20,1,3,DOWN
2,20,6,4,UP
5,20,5,5,STILL
15,20,7,6,UP
17,20,11,7,UP
3,20,8,8,STILL
10,20,13,9,UP
4,20,10,10,STILL
22,20,12,11,UP
21,20,18,12,UP
1,20,3,13,DOWN
6,20,16,14,UP
7,20,15,15,STILL
19,20,21,16,UP
11,20,22,17,UP
14,20,17,18,DOWN
16,20,20,19,UP
12,20,14,NULL,INVALID
18,20,9,NULL,INVALID
20,20,19,NULL,INVALID
8,21,1,1,STILL
13,21,3,2,UP
1,21,5,3,UP
9,21,4,4,STILL
17,21,7,5,UP
18,21,13,6,UP
6,21,12,7,UP
15,21,8,8,STILL
2,21,9,9,STILL
21,21,19,10,UP
10,21,14,11,UP
14,21,17,12,UP
11,21,22,13,UP
3,21,15,NULL,INVALID
4,21,2,NULL,INVALID
22,21,11,NULL,INVALID
5,21,6,NULL,INVALID
19,21,21,NULL,INVALID
7,21,16,NULL,INVALID
12,21,10,NULL,INVALID
16,21,20,NULL,INVALID
20,21,18,NULL,INVALID
13,22,1,1,STILL
1,22,3,2,UP
8,22,4,3,UP
9,22,5,4,UP
2,22,9,5,UP
4,22,7,6,UP
17,22,6,7,DOWN
3,22,11,8,UP
14,22,10,9,UP
15,22,8,10,DOWN
18,22,13,11,UP
5,22,2,12,DOWN
10,22,15,13,UP
22,22,12,14,DOWN
12,22,17,15,UP
20,22,14,17,DOWN
7,22,18,NULL,INVALID
6,22,16,NULL,INVALID
1,23,3,1,UP
9,23,5,2,UP
13,23,1,3,DOWN
17,23,9,4,UP
5,23,4,8,DOWN
8,23,2,9,DOWN
4,23,7,10,DOWN
15,23,8,13,DOWN
3,23,6,NULL,INVALID
12,23,17,NULL,INVALID
21,23,20,NULL,INVALID
7,23,16,NULL,INVALID
9,24,2,1,UP
2,24,8,2,UP
14,24,13,3,UP
10,24,11,4,UP
13,24,6,5,UP
15,24,14,6,UP
22,24,9,7,UP
5,24,7,9,DOWN
3,24,5,10,DOWN
17,24,10,12,DOWN
6,24,12,NULL,INVALID
4,24,4,NULL,INVALID
12,24,15,NULL,INVALID
8,24,3,NULL,INVALID
1,24,1,NULL,INVALID
13,25,2,1,UP
8,25,1,2,DOWN
7,25,14,17,DOWN
1,26,4,1,UP
2,26,5,2,UP
22,26,16,3,UP
8,26,3,4,DOWN
5,26,1,5,DOWN
4,26,6,6,STILL
15,26,14,7,UP
6,26,15,8,UP
17,26,2,10,DOWN
7,26,13,11,UP
10,26,12,12,STILL
13,26,9,13,DOWN
9,26,10,NULL,INVALID
18,26,17,NULL,INVALID
12,26,7,NULL,INVALID
20,26,8,NULL,INVALID
14,26,11,NULL,INVALID
1,27,1,1,STILL
12,27,17,2,UP
13,27,2,3,DOWN
2,27,12,4,UP
5,27,3,5,DOWN
8,27,6,6,STILL
9,27,7,7,STILL
20,27,9,8,UP
15,27,4,9,DOWN
3,27,13,10,UP
4,27,5,11,DOWN
7,27,15,12,UP
14,27,10,13,DOWN
6,27,16,14,UP
16,27,19,15,UP
21,27,20,16,UP
18,27,14,17,DOWN
22,27,18,NULL,INVALID
17,27,8,NULL,INVALID
10,27,11,NULL,INVALID
5,28,2,1,UP
10,28,5,2,UP
8,28,6,3,UP
4,28,7,4,UP
1,28,1,5,DOWN
12,28,10,6,UP
15,28,9,7,UP
9,28,4,8,DOWN
17,28,8,9,DOWN
14,28,13,11,UP
18,28,12,12,STILL
13,28,3,17,DOWN
16,28,20,NULL,INVALID
20,28,11,NULL,INVALID
13,29,1,1,STILL
1,29,2,2,STILL
9,29,3,3,STILL
5,29,5,4,UP
15,29,7,5,UP
20,29,6,6,STILL
10,29,13,7,UP
3,29,9,8,UP
2,29,8,9,DOWN
7,29,10,10,STILL
12,29,15,11,UP
17,29,14,12,UP
18,29,16,13,UP
21,29,18,14,UP
6,29,11,15,DOWN
22,29,19,16,UP
14,29,17,17,STILL
8,29,4,NULL,INVALID
16,29,20,NULL,INVALID
4,29,12,NULL,INVALID
13,30,2,1,UP
2,30,5,2,UP
1,30,1,3,DOWN
4,30,6,4,UP
20,30,10,5,UP
9,30,8,6,UP
7,30,9,7,UP
17,30,7,8,DOWN
10,30,13,9,UP
5,30,3,10,DOWN
14,30,14,11,UP
3,30,15,12,UP
16,30,18,13,UP
6,30,19,14,UP
18,30,17,15,UP
15,30,11,16,DOWN
21,30,20,17,UP
8,30,4,18,DOWN
22,30,16,NULL,INVALID
12,30,12,NULL,INVALID
20,31,1,1,STILL
5,31,2,2,STILL
9,31,11,3,UP
4,31,8,4,UP
2,31,10,5,UP
13,31,6,6,STILL
1,31,15,7,UP
17,31,3,8,DOWN
8,31,14,9,UP
12,31,17,10,UP
10,31,9,11,DOWN
6,31,18,12,UP
15,31,7,13,DOWN
3,31,5,14,DOWN
18,31,19,15,UP
14,31,13,16,DOWN
22,31,16,17,DOWN
7,31,4,18,DOWN
16,31,20,19,UP
21,31,12,NULL,INVALID
4,32,15,1,UP
1,32,2,3,DOWN
14,32,14,7,UP
6,32,10,8,UP
18,32,12,9,UP
5,32,5,10,DOWN
9,32,4,11,DOWN
7,32,17,12,UP
13,32,1,13,DOWN
21,32,20,14,UP
8,32,3,15,DOWN
15,32,11,NULL,INVALID
16,32,19,NULL,INVALID
17,32,13,NULL,INVALID
22,32,18,NULL,INVALID
12,32,16,NULL,INVALID
4,33,4,1,UP
9,33,6,2,UP
8,33,2,3,DOWN
12,33,12,4,UP
15,33,7,5,UP
20,33,9,6,UP
13,33,5,7,DOWN
17,33,13,8,UP
2,33,16,9,UP
7,33,10,10,STILL
3,33,15,11,UP
1,33,1,12,DOWN
22,33,17,13,UP
18,33,18,14,UP
6,33,14,15,DOWN
21,33,20,NULL,INVALID
5,33,3,NULL,INVALID
16,33,19,NULL,INVALID
10,33,8,NULL,INVALID
14,33,11,NULL,INVALID
1,34,1,1,STILL
13,34,3,2,UP
8,34,2,3,DOWN
4,34,4,4,STILL
6,34,17,12,UP
18,34,18,16,UP
21,34,20,17,UP
5,34,5,NULL,INVALID
16,34,19,NULL,INVALID
13,35,1,1,STILL
4,35,6,2,UP
8,35,3,3,STILL
20,35,7,4,UP
1,35,4,5,DOWN
10,35,10,6,UP
5,35,5,7,DOWN
15,35,2,8,DOWN
17,35,12,9,UP
2,35,8,10,DOWN
9,35,13,11,UP
3,35,18,12,UP
18,35,17,13,UP
7,35,9,14,DOWN
22,35,15,15,STILL
16,35,20,16,UP
6,35,16,17,DOWN
21,35,19,18,UP
12,35,11,NULL,INVALID
14,35,14,NULL,INVALID
8,36,1,1,STILL
4,36,2,2,STILL
1,36,4,3,UP
2,36,3,4,DOWN
21,36,6,5,UP
3,36,12,7,UP
23,36,9,8,UP
15,36,8,9,DOWN
5,36,13,10,UP
11,36,10,12,DOWN
17,36,7,13,DOWN
18,36,14,15,DOWN
19,36,11,16,DOWN
25,36,15,NULL,INVALID
9,36,5,NULL,INVALID
4,37,2,1,UP
1,37,4,2,UP
8,37,3,3,STILL
2,37,5,4,UP
13,37,1,5,DOWN
21,37,12,6,UP
15,37,8,7,UP
5,37,11,8,UP
17,37,10,10,STILL
18,37,15,12,UP
11,37,14,13,UP
26,37,17,14,UP
23,37,9,15,DOWN
19,37,18,16,UP
24,37,16,17,DOWN
9,37,7,18,DOWN
3,37,6,NULL,INVALID
14,37,13,NULL,INVALID
13,38,1,1,STILL
1,38,2,2,STILL
8,38,3,3,STILL
2,38,5,4,UP
4,38,4,5,DOWN
9,38,6,6,STILL
15,38,9,7,UP
21,38,7,8,DOWN
5,38,12,9,UP
3,38,10,10,STILL
25,38,11,11,STILL
23,38,14,12,UP
22,38,15,13,UP
27,38,22,14,UP
16,38,20,15,UP
19,38,13,16,DOWN
17,38,8,NULL,INVALID
14,38,21,NULL,INVALID
11,38,17,NULL,INVALID
24,38,18,NULL,INVALID
18,38,16,NULL,INVALID
26,38,19,NULL,INVALID
13,39,1,1,STILL
1,39,4,2,UP
4,39,2,3,DOWN
9,39,5,4,UP
14,39,9,5,UP
3,39,11,6,UP
5,39,8,7,UP
11,39,13,8,UP
21,39,10,9,UP
22,39,12,10,UP
19,39,15,11,UP
18,39,14,12,UP
16,39,20,13,UP
27,39,21,14,UP
2,39,7,NULL,INVALID
23,39,17,NULL,INVALID
